id;nom;address;email;num_tel;prix_titre;secteur
1;Becker, Tromp and Wunsch;573 Surrey Circle;aoaten0@google.com.au;518-523-7368;976.69;7
2;Kerluke and Sons;7 Spenser Point;aogiany1@xing.com;570-487-4364;7249.28;2
3;Larkin-Wolf;627 Weeping Birch Alley;wstrother2@mysql.com;976-660-6904;9991.75;1
4;Ziemann and Sons;0257 Hanson Drive;ckenset3@csmonitor.com;411-584-6584;8870.3;8
5;Turner-Corkery;96167 David Street;vhinken4@storify.com;841-317-7552;1884.25;12
6;Roberts, Kuvalis and Purdy;32935 Del Sol Way;wcordero5@bandcamp.com;162-380-4398;1840.97;1
7;Ernser, Pagac and Rohan;265 New Castle Parkway;ppass6@youtu.be;151-436-2218;4686.26;10
8;McDermott-Reinger;84765 Bowman Parkway;bkift7@yelp.com;580-312-1802;9106.18;3
9;Crooks-Bauch;00 Northport Terrace;fdownham8@nba.com;941-301-4437;5310.3;13
10;Sporer-Smith;8662 Cambridge Drive;jbutters9@ft.com;812-964-8592;2635.88;9
11;Waelchi-Johnston;6995 Loftsgordon Avenue;xbateripa@xrea.com;734-331-4557;6110.78;4
12;Willms-Boyer;3 Manley Plaza;avowelsb@army.mil;291-215-2948;1935.76;9
13;Windler-Pagac;58 Manitowish Junction;rmcandiec@patch.com;588-574-9419;3883.2;12
14;Beatty, Emard and Bogan;0 Darwin Center;hkenerd@mapy.cz;790-325-1193;9802.55;11
15;Dietrich-Bashirian;01 Schlimgen Place;kcucinottae@1und1.de;476-961-4012;9338.96;9
16;Blick-Wyman;4114 Little Fleur Court;tpagonf@toplist.cz;682-905-9973;718.09;4
17;Toy-Labadie;57 Holy Cross Junction;kboutellierg@toplist.cz;396-667-0348;1040.73;12
18;Jacobs-Mayert;403 Bobwhite Drive;bsarjenth@loc.gov;788-221-7419;6005.01;7
19;Christiansen-Paucek;5 Forster Circle;fettridgei@imageshack.us;641-821-6827;812.99;1
