id;owner;buyer
01H7HTRFPF5R9QSYN953J8DXYN;55;52
01H7HTRFPNA2NME6G5Y2DQYTAW;40;46
01H7HTRFPNCHTRNHHCVP4ZB4QG;61;97
01H7HTRFPN6HA5QQSFYPAEXWXG;93;59
01H7HTRFPP8DH7Y21BYR5P67W0;4;52
01H7HTRFPP3FT4GKGWRV19JHG8;86;19
01H7HTRFPPV9R5ZAP98GQ55N77;68;73
01H7HTRFPQVKY2ZFHXCHQEHS9X;41;71
01H7HTRFPQGW2GQRC0WB5QW6ES;35;50
01H7HTRFPQGTQ4RFGTDYDPDS2K;47;64
01H7HTRFPR8MJG6WE74PW271P5;10;15
01H7HTRFPRNYTNNQYVEJW4CQPX;2;78
01H7HTRFPRTMK9RT0GD64SP0WH;55;63
01H7HTRFPSD632EPV28HG3EEZR;93;47
01H7HTRFPSQMJG8T5DE0CKREK2;21;14
01H7HTRFPSV5F0M926ZMA0ANRY;99;91
01H7HTRFPT3QM8SNVBTGCAJVQN;21;3
01H7HTRFPT8W7FGEMNB3G7CP7W;57;18
01H7HTRFPTY2T0HFZMMXTH287M;25;59
01H7HTRFPVK4NRH22XGS2YZYDW;68;4
01H7HTRFPV4AZW4JEYY3F0FNCK;87;53
01H7HTRFPWZ8R1FG2CAAE84990;89;5
01H7HTRFPWG4BW287YXKQE5CQY;40;35
01H7HTRFPWN2E8CHB6G6TZA0V2;47;77
01H7HTRFPWS1NEV6ZERHBDTQYX;45;56
01H7HTRFPX1HRFFPN2H399D143;55;55
01H7HTRFPXNDZEHYQMS5WDYJ75;69;91
01H7HTRFPXVHMDAHTE07ST3PHJ;64;16
01H7HTRFPY855CFDHBS2GWRTC5;22;77
01H7HTRFPY3RR52M5BWD3FCP9W;88;10
01H7HTRFPYD2QKFG3QRPMQXH74;3;5
01H7HTRFPZC1WC0T96J6JQ1R02;37;62
01H7HTRFPZ7HR1MMD67KNW97V1;51;6
01H7HTRFPZ9SY21HM7QN8VBGGW;39;39
01H7HTRFQ0036H0HKYGZWFE150;53;17
01H7HTRFQ05NKQZRDWJ6W15MYD;32;19
01H7HTRFQ0Y95D5HSHHSRKAHKE;48;15
01H7HTRFQ1X9N0T7DD3V0DG5A0;34;17
01H7HTRFQ10PRVP7Y99EX96EQ2;47;59
01H7HTRFQ102E5V4PX2HMPS3PW;92;57
